eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
056fc65c-632a-4515-803f-1f0bcba0ecca,1,11,False,"[(60, 49), (51, 74)]",210,188,42,35,210,60,109,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,125,51,109,60,109.0,60.0,112.83010000000002,57.84559999999999,109.0,60.0,109.0,60.0,0.872,1.0
056fc65c-632a-4515-803f-1f0bcba0ecca,1,11,False,"[(49, 60), (74, 51)]",188,210,35,42,188,49,109,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,125,74,109,49,109.0,49.0,112.83010000000002,54.9845,109.0,49.0,109.0,49.0,0.872,1.0
5c7b8ca4-678f-46de-8a5d-1865bd20a697,2,22,False,"[(69, 102), (87, 98), (104, 71)]",244,210,67,60,244,69,171,171,69,185,87,171,69,171,69,185,87,175,104,175,104,175,104,175,104,185,87,171,69,174.03229999999996,95.53229999999999,173.1089,87.45240000000001,175.0,104.0,171.0,69.0,0.9243243243243243,1.0
5c7b8ca4-678f-46de-8a5d-1865bd20a697,2,22,False,"[(102, 69), (98, 87), (71, 104)]",210,244,60,67,210,102,171,171,102,185,98,171,102,171,102,185,98,175,71,175,71,175,71,175,71,185,98,171,102,174.03229999999996,78.5,173.1089,85.6565,175.0,71.0,171.0,102.0,0.9243243243243243,1.0
ba8c8f27-e8a6-49e2-8503-4b7744372506,0,0,False,"[(81, 58), (56, 67)]",190,144,47,44,190,56,123,123,56,123,56,123,56,123,56,123,56,139,81,139,81,123,56,123,56,139,81,123,56,123.0,56.0,128.74970000000002,64.9839,139.0,81.0,123.0,56.0,0.8848920863309353,1.0
ba8c8f27-e8a6-49e2-8503-4b7744372506,0,0,False,"[(58, 81), (67, 56)]",144,190,44,47,144,67,123,123,67,123,67,123,67,123,67,123,67,139,58,139,58,123,67,123,67,139,58,123,67,123.0,67.0,128.74970000000002,63.7658,139.0,58.0,123.0,67.0,0.8848920863309353,1.0
68cf2485-7814-4099-8c84-ac4ee18822f4,0,0,False,"[(184, 207), (225, 202)]",562,608,170,189,562,187,385,391,184,391,184,391,184,391,184,391,184,391,184,391,184,391,184,391,184,427,225,391,184,391.0,184.0,394.6707,188.1805,391.0,184.0,391.0,184.0,0.9016393442622951,0.9846547314578005
68cf2485-7814-4099-8c84-ac4ee18822f4,0,0,False,"[(207, 184), (202, 225)]",608,562,189,170,608,198,385,391,207,391,207,391,207,391,207,391,207,391,207,391,207,391,207,391,207,427,202,391,207,391.0,207.0,394.6707,206.49020000000002,391.0,207.0,391.0,207.0,0.9016393442622951,0.9846547314578005
fd7575f0-587b-451b-a262-1d19c55a6ad9,3,23,False,"[(108, 97), (82, 105)]",232,200,55,38,232,85,181,187,82,187,82,187,82,187,82,205,108,205,108,205,108,187,82,187,82,205,108,187,82,187.0,82.0,192.56990000000002,90.0454,205.0,108.0,187.0,82.0,0.8829268292682927,0.9679144385026738
fd7575f0-587b-451b-a262-1d19c55a6ad9,3,23,False,"[(97, 108), (105, 82)]",200,232,38,55,200,96,181,187,105,187,105,187,105,187,105,205,97,205,97,205,97,187,105,187,105,205,97,187,105,187.0,105.0,192.56990000000002,102.5245,205.0,97.0,187.0,105.0,0.8829268292682927,0.9679144385026738
5a21de4e-6d47-4859-8f8c-03007d8efb23,1,1,False,"[(80, 69), (48, 71)]",210,222,39,42,210,51,113,119,48,119,48,119,48,119,48,149,80,119,48,119,48,119,48,119,48,149,80,119,48,119.0,48.0,120.8621,49.9862,128.7058,58.352900000000005,119.0,48.0,0.7583892617449665,0.9495798319327731
5a21de4e-6d47-4859-8f8c-03007d8efb23,1,1,False,"[(69, 80), (71, 48)]",222,210,42,39,222,62,113,119,71,119,71,119,71,119,71,149,69,119,71,119,71,119,71,119,71,149,69,119,71,119.0,71.0,120.8621,70.8759,128.7058,70.3529,119.0,71.0,0.7583892617449665,0.9495798319327731
6bf5cc43-8b15-464c-a3f5-4dc326fbc165,2,22,False,"[(87, 64), (62, 73)]",210,244,39,55,210,62,135,135,62,135,62,135,62,135,62,135,62,135,62,135,62,135,62,135,62,151,87,135,62,135.0,62.0,138.65430000000003,67.7099,135.0,62.0,135.0,62.0,0.8940397350993378,1.0
6bf5cc43-8b15-464c-a3f5-4dc326fbc165,2,22,False,"[(64, 87), (73, 62)]",244,210,55,39,244,73,135,135,73,135,73,135,73,135,73,135,73,135,73,135,73,135,73,135,73,151,64,135,73,135.0,73.0,138.65430000000003,70.9444,135.0,73.0,135.0,73.0,0.8940397350993378,1.0
623795e4-62ec-4c80-9df3-b4951b7efd77,3,23,False,"[(98, 109), (123, 100)]",210,244,66,82,210,98,207,207,98,207,98,207,98,207,98,207,98,207,98,207,98,207,98,207,98,223,123,207,98,207.0,98.0,210.5,103.4688,207.0,98.0,207.0,98.0,0.9282511210762332,1.0
623795e4-62ec-4c80-9df3-b4951b7efd77,3,23,False,"[(109, 98), (100, 123)]",244,210,82,66,244,109,207,207,109,207,109,207,109,207,109,207,109,207,109,207,109,207,109,207,109,223,100,207,109,207.0,109.0,210.5,107.03120000000001,207.0,109.0,207.0,109.0,0.9282511210762332,1.0
4bb55ab0-94d6-49a1-b96d-09711ff82c31,1,1,False,"[(65, 88), (69, 80)]",210,244,51,61,210,68,147,153,65,149,69,149,69,149,69,149,69,153,65,149,69,149,69,149,69,153,65,149,69,149.0,69.0,150.44500000000005,67.55510000000001,153.0,65.0,149.0,69.0,0.9607843137254902,0.9865771812080537
4bb55ab0-94d6-49a1-b96d-09711ff82c31,1,1,False,"[(88, 65), (80, 69)]",244,210,61,51,244,79,147,153,88,149,80,149,80,149,80,149,80,153,88,149,80,149,80,149,80,153,88,149,80,149.0,80.0,150.44500000000005,82.88990000000001,153.0,88.0,149.0,80.0,0.9607843137254902,0.9865771812080537
d0bf5fa1-ca9f-48be-9831-fce1c030c352,1,11,False,"[(79, 90), (95, 72)]",210,210,68,61,210,86,161,167,95,169,79,167,95,167,95,169,79,169,79,169,79,167,95,167,95,169,79,167,95,167.47910000000002,91.1666,167.9671,87.2628,168.353,84.1765,167.0,95.0,0.9526627218934911,0.9640718562874252
d0bf5fa1-ca9f-48be-9831-fce1c030c352,1,11,False,"[(90, 79), (72, 95)]",210,210,61,68,210,75,161,167,72,169,90,167,72,167,72,169,90,169,90,169,90,167,72,167,72,169,90,167,72,167.47910000000002,76.3125,167.9671,80.70429999999999,168.353,84.1765,167.0,72.0,0.9526627218934911,0.9640718562874252
9d293d42-5d87-4c11-929b-4e3eb3b051b3,3,23,True,"[(104, 203), (120, 175), (143, 154)]",210,276,70,86,210,84,279,307,104,297,143,295,120,295,120,297,143,295,120,295,120,295,120,295,120,307,104,295,120,295.0,120.0,295.1089,121.2524,298.0,116.0,295.0,120.0,0.9087947882736156,0.9457627118644067
9d293d42-5d87-4c11-929b-4e3eb3b051b3,3,23,True,"[(203, 104), (175, 120), (154, 143)]",276,210,86,70,276,195,279,307,203,297,154,295,175,295,175,297,154,295,175,295,175,295,175,295,175,307,203,295,175,295.0,175.0,295.1089,173.85649999999998,298.0,182.0,295.0,175.0,0.9087947882736156,0.9457627118644067
adea9226-8c9e-45a9-aabf-c5f07c10ea3f,1,11,False,"[(90, 67), (64, 87), (82, 71)]",200,166,55,53,200,81,151,151,64,153,82,151,64,151,64,153,82,157,90,153,82,153,82,153,82,151,64,151,64,153.0,82.0,152.37439999999998,76.3699,157.0,90.0,151.0,64.0,0.9617834394904459,1.0
adea9226-8c9e-45a9-aabf-c5f07c10ea3f,1,11,False,"[(67, 90), (87, 64), (71, 82)]",166,200,53,55,166,70,151,151,87,153,71,151,87,151,87,153,71,157,67,153,71,153,71,153,71,151,87,151,87,153.0,71.0,152.37439999999998,76.0045,157.0,67.0,151.0,87.0,0.9617834394904459,1.0
83380bcd-44c6-4e45-9966-48da255e0407,0,0,False,"[(70, 59), (57, 68), (53, 76)]",210,244,39,47,210,56,123,129,53,125,57,125,57,125,57,129,70,129,53,125,57,125,57,125,57,129,70,125,57,125.00009999999997,57.0001,125.70510000000002,59.29150000000001,129.0,53.0,125.0,57.0,0.9534883720930233,0.984
83380bcd-44c6-4e45-9966-48da255e0407,0,0,False,"[(59, 70), (68, 57), (76, 53)]",244,210,47,39,244,67,123,129,76,125,68,125,68,125,68,129,59,129,76,125,68,125,68,125,68,129,59,125,68,125.00009999999997,68.0,125.70510000000002,66.4136,129.0,76.0,125.0,68.0,0.9534883720930233,0.984
c63b3b92-63cc-4d8a-bb28-3721083cbcb1,2,23,False,"[(160, 171), (183, 160)]",364,442,111,142,364,160,331,331,160,331,160,331,160,331,160,331,160,331,160,331,160,331,160,331,160,343,183,331,160,331.0,160.0,334.08450000000005,165.912,331.0,160.0,331.0,160.0,0.9650145772594753,1.0
c63b3b92-63cc-4d8a-bb28-3721083cbcb1,2,23,False,"[(171, 160), (160, 183)]",442,364,142,111,442,171,331,331,171,331,171,331,171,331,171,331,171,331,171,331,171,331,171,331,171,343,160,331,171,331.0,171.0,334.08450000000005,168.1725,331.0,171.0,331.0,171.0,0.9650145772594753,1.0
6588953b-f8c7-4fd3-b542-d4e36a53dc4f,2,12,False,"[(157, 168), (173, 162)]",408,442,146,159,408,157,325,325,157,325,157,325,157,325,157,325,157,325,157,325,157,325,157,325,157,335,173,325,157,325.0,157.0,327.5159,161.0254,325.0,157.0,325.0,157.0,0.9701492537313433,1.0
6588953b-f8c7-4fd3-b542-d4e36a53dc4f,2,12,False,"[(168, 157), (162, 173)]",442,408,159,146,442,168,325,325,168,325,168,325,168,325,168,325,168,325,168,325,168,325,168,325,168,335,162,325,168,325.0,168.0,327.5159,166.4905,325.0,168.0,325.0,168.0,0.9701492537313433,1.0
1ec9d528-049e-4ea0-95b0-c909856a1568,2,22,False,"[(56, 67), (47, 70), (69, 58), (72, 49)]",200,188,39,35,200,60,109,117,47,123,56,117,47,117,47,123,56,127,69,127,69,117,47,117,47,127,69,117,47,118.00189999999998,53.262,118.92160000000001,59.0103,120.04340000000002,66.02170000000001,117.0,47.0,0.8582677165354331,0.9316239316239316
1ec9d528-049e-4ea0-95b0-c909856a1568,2,22,False,"[(67, 56), (70, 47), (58, 69), (49, 72)]",188,200,35,39,188,49,109,117,70,123,67,117,70,117,70,123,67,127,58,127,58,117,70,117,70,127,58,117,70,118.00189999999998,64.7399,118.92160000000001,59.91130000000001,120.04340000000002,54.02170000000001,117.0,70.0,0.8582677165354331,0.9316239316239316
3830bd07-2702-4989-acfc-4be73bdb7fa8,3,23,False,"[(105, 82), (101, 124)]",210,244,60,64,210,96,181,187,105,187,105,187,105,187,105,187,105,225,101,187,105,187,105,187,105,225,101,187,105,187.0,105.0,191.71179999999998,104.504,225.0,101.0,187.0,105.0,0.8044444444444444,0.9679144385026738
3830bd07-2702-4989-acfc-4be73bdb7fa8,3,23,False,"[(82, 105), (124, 101)]",244,210,64,60,244,85,181,187,82,187,82,187,82,187,82,187,82,225,124,187,82,187,82,187,82,225,124,187,82,187.0,82.0,191.71179999999998,87.20779999999999,225.0,124.0,187.0,82.0,0.8044444444444444,0.9679144385026738
7cb1c8fb-a3d0-4792-81dc-c45819a3a064,2,22,False,"[(103, 92), (99, 110)]",222,210,98,69,222,103,195,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,209,99,195,103,195.0,103.0,197.4602,102.2971,195.0,103.0,195.0,103.0,0.9330143540669856,1.0
7cb1c8fb-a3d0-4792-81dc-c45819a3a064,2,22,False,"[(92, 103), (110, 99)]",210,222,69,98,210,92,195,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,209,110,195,92,195.0,92.0,197.4602,95.1631,195.0,92.0,195.0,92.0,0.9330143540669856,1.0
5275e3d4-8a6a-4f67-ad42-300985c0621f,2,22,False,"[(53, 64), (70, 47)]",200,200,39,38,200,70,117,117,70,117,53,117,53,117,53,117,53,117,53,117,53,117,53,117,53,117,70,117,53,117.0,58.5,117.0,61.33000000000001,117.0,58.5,117.0,70.0,1.0,1.0
5275e3d4-8a6a-4f67-ad42-300985c0621f,2,22,False,"[(64, 53), (47, 70)]",200,200,38,39,200,47,117,117,47,117,64,117,64,117,64,117,64,117,64,117,64,117,64,117,64,117,47,117,64,117.0,58.5,117.0,55.66999999999999,117.0,58.5,117.0,47.0,1.0,1.0
dc74bd60-1d48-48ca-98b2-7c3b191f0876,0,0,False,"[(74, 85), (91, 68)]",190,144,64,54,190,82,153,159,91,159,74,159,74,159,74,159,74,159,91,159,91,159,91,159,91,159,74,159,74,159.0,90.9972,159.0,84.2708,159.0,91.0,159.0,91.0,0.9622641509433962,0.9622641509433962
dc74bd60-1d48-48ca-98b2-7c3b191f0876,0,0,False,"[(85, 74), (68, 91)]",144,190,54,64,144,71,153,159,68,159,85,159,85,159,85,159,85,159,68,159,68,159,68,159,68,159,85,159,85,159.0,68.0028,159.0,74.7292,159.0,68.0,159.0,68.0,0.9622641509433962,0.9622641509433962
de00e82a-ad0c-4c94-ab33-76bd531bf3db,1,11,False,"[(53, 76), (71, 60), (62, 73), (74, 51)]",210,188,39,42,210,65,119,125,74,131,71,125,74,125,74,131,71,125,74,131,71,125,74,125,74,135,62,125,74,125.0,74.0,126.69189999999998,65.11779999999999,125.08699999999999,73.5435,125.0,74.0,0.8814814814814815,0.952
de00e82a-ad0c-4c94-ab33-76bd531bf3db,1,11,False,"[(76, 53), (60, 71), (73, 62), (51, 74)]",188,210,42,39,188,54,119,125,51,131,60,125,51,125,51,131,60,125,51,131,60,125,51,125,51,135,73,125,51,125.0,51.0,126.69189999999998,61.5741,125.08699999999999,51.543499999999995,125.0,51.0,0.8814814814814815,0.952
b52892e3-da76-40e0-9613-c769a609eb81,0,0,False,"[(95, 84), (66, 89)]",210,256,52,71,210,69,149,155,66,155,66,155,66,155,66,179,95,155,66,155,66,155,66,155,66,179,95,155,66,155.0,66.0,158.02729999999997,69.65799999999999,155.0,66.0,155.0,66.0,0.8324022346368715,0.9612903225806452
b52892e3-da76-40e0-9613-c769a609eb81,0,0,False,"[(84, 95), (89, 66)]",256,210,71,52,256,80,149,155,89,155,89,155,89,155,89,179,84,155,89,155,89,155,89,155,89,179,84,155,89,155.0,89.0,158.02729999999997,88.36930000000001,155.0,89.0,155.0,89.0,0.8324022346368715,0.9612903225806452
cab914c8-0899-4084-9d9a-fa005300e166,1,11,False,"[(98, 75), (68, 91), (72, 83)]",210,188,57,60,210,71,153,159,68,155,72,155,72,155,72,155,72,173,98,155,72,155,72,155,72,173,98,155,72,155.0001,72.0001,158.022,76.36519999999999,172.4706,97.2353,155.0,72.0,0.884393063583815,0.9870967741935484
cab914c8-0899-4084-9d9a-fa005300e166,1,11,False,"[(75, 98), (91, 68), (83, 72)]",188,210,60,57,188,82,153,159,91,155,83,155,83,155,83,155,83,173,75,155,83,155,83,155,83,173,75,155,83,155.0001,83.0,158.022,81.6568,172.4706,75.2353,155.0,83.0,0.884393063583815,0.9870967741935484
fbb8b9d8-9788-4c70-820e-137d1291a47b,1,11,False,"[(75, 86), (93, 82), (96, 73)]",254,254,64,64,254,75,161,169,96,161,75,161,75,161,75,161,75,161,75,161,75,161,75,161,75,175,93,161,75,161.0,75.0,164.03790000000004,82.9744,163.58819999999997,81.79409999999999,161.0,75.0,0.92,1.0
fbb8b9d8-9788-4c70-820e-137d1291a47b,1,11,False,"[(86, 75), (82, 93), (73, 96)]",254,254,64,64,254,86,161,169,73,161,86,161,86,161,86,161,86,161,86,161,86,161,86,161,86,175,82,161,86,161.0,86.0,164.03790000000004,81.0635,163.58819999999997,81.79409999999999,161.0,86.0,0.92,1.0
